[[0:05 | t=5]] [музыка] Всех приветствую. Мы с вами постепенно
[[12:00 | t=720]] использовали Telegram, Telegrams, а посевы, да, и мы тоже понимаем, что посевы тоже довольно сильно дорожают. И, э, особенно, наверное, чувствуют бизнес те, которые рассматривают всё-таки посевы не как медийный инструмент, не как инструмент повышения охвата, а как канал литгена, да. И, соответственно, для большинства задач стало сложнее подобрать эти Telegram-каналы, потому что ээ ну даже мы на себе это чувствуем.
[[12:33 | t=753]] сложно собрать посев, потому что нужны нишевые каналы, маленькие каналы, чтобы, например, привести заявки, чтобы провести регистрации на мероприятия, потому что у маленьких каналов всё-таки вовлечение, а, получше, да. Ну и за вот эти годы, что мы наблюдаем, да, изменения в во всех маркетинговых каналах, у нас собралась большое выборка, например, тех же блогеров в Телеграме, у которых за 2-2 с по года просто катастрофически выросли цены, да, при этом качественная
[[13:04 | t=784]] аудитория в них мм не выросла. Что ещё? Да, дорожает у нас с вами поисковое продвижение, потому что компетенция всё популярнее и популярнее, да? растёт конкуренция. И как вишенка на торте у нас с вами дорожает классический перформанс, потому что медиаинфляция у нас ускоряется и растёт цена лида. Чтобы не быть голословной, я бы хотела вам показать данные нашего исследования по многим отраслям. То есть мы видим разные проекты, разные отрасли, там
[[13:35 | t=815]] медицина, автобизнес, недвижимость, очень много отраслей за последние полгода. А что мы видим внутри? а-а, в калибре обрабатывает миллионы обращений клиентов. А-э, соответственно, мы видим звонки, чаты, обращения из мессенджеров, аэ, очень-очень много всего, да, то есть заявки с сайта, всё это мы видим. Ну, и в различных отраслях от B2B до автобизнеса, а, мы наблюдаем различные тренды. И, соответственно, э
[[14:05 | t=845]] что за эти полгода мы можем посмотреть. А давайте сразу посмотрим на источники, откуда приходит обращение, да? То есть всё-таки почти 50 на50, э, это рекламные обращения и обращения из поиска. Совсем немного у нас, например, переходов из ВКонтакте. И мы видим здесь важный такой момент, что довольно уже заметный ээ
[[14:35 | t=875]] брендовый трафик. И что это значит? Да, это значит, что про узнаваемость думать нужно не только тем бизнесом, у которых гигантские бюджеты на медийку, но и всем остальным, то есть большинству. А что ещё интересного мы видим? Какие тренды, да? А те самые другие каналы, которые э мы раньше с вами считали альтернативными, либо считали там какими-то, э, экспериментами или гипотезами. А, смотрите, вот в этом
[[15:05 | t=905]] графике, в этом пайчарте задействовано больше 2 млн чатов, заявок, звонков и других видов обращений клиентских. А, соответственно, мы можем сказать, что там 2гис, Авито, близко, Яндекс-карты - это абсолютно самостоятельные и крепкие рекламные каналы, ээ, каналы привлечения со своими инструментами, со своими рекламными возможностями. И даже если у кого-то из вас сохранилось предубеждение, да, что, например, на Авито нет наших клиентов, особенно если
[[15:35 | t=935]] вы в B2C, например, или нет ваших клиентов и в геосервисах, то нужно прямо сегодня с этим предубеждением расстаться и попрощаться, потому что, а, это гигантские площадки, которые аккумулируют на себе большой трафик. А что посмотрим, да, по мессенджерам? а-а, активность, ээ, по отраслям в мессенджерах разная, да? То есть в каждой отрасле есть свой объективный лидер. В основном, конечно, самый популярный мессенджер - это WhatsApp. А
[[16:06 | t=966]] у кого-то фигурирует, да, Авито. Ну и в нашей выборке застройщиков, например, лидер - это Telegram. И можем, например, с вами обратить внимание, что совсем нет обращения ВКонтакте. Хотя вы прекрасно знаете, что практически у каждого ЖК есть группы ВКонтакте, и можно, например, задумываться, нужны ли они или нет. Ну и плюс очень важно, да, если вы работаете в сфере медицины, то, э, большинству клиник с 1 июля нужно отказаться от Ватсаппа, а потому что это зарубежный мессенджер, как и Telegram, и
[[16:37 | t=997]] обрабатывать там персональные данные пациентов больше нельзя. Нужно искать отечественное решение. Давайте поедем дальше. А, ну вот самый интересный, да, слайд - это стоимость заявки в ЯндексДиректе. А самая, наверное, катастрофическая, да, стоимость заявки именно заявки, то есть это сырой элит, не квалифицированный, просто заявка. А смотрите, она растёт во всех отраслях, катастрофически быстро растёт. В недвижимости понятно, почему
[[17:09 | t=1029]] растёт и в автобизнесе, и в B2B. А чуть-чуть получше ситуация в сфере услуг. Ээ, и в ритейле тоже сделаю поправку на нашу выборку, потому что мы в основном в выборку берём всегда региональный ритейл, небольшие сети, то есть каких-то больших федеральных игроков здесь нет. Мы их намеренно исключаем, чтобы не было каких-то экстремумомов. Ну и, соответственно, э получается такая картина. А-а, скажите,
[[17:40 | t=1060]] пожалуйста, у кого-то примерно похожая вилка по заявкам, напишите в чат, насколько, если вы узнаёте себя в отраслях, аэ насколько совпадают наши данные и ваша реальность сейчас. >> Ну, то есть в среднем а стоимость заявки колеблется, да, от 3.000 руб. в разных отраслях. самая небольшая 2.500 руб. в сфере услуг. А поставьте плюсики, у кого
[[18:13 | t=1093]] совпадает, минус, у кого не совпадает. Да, вижу, коллеги пишут, что а разные есть варианты, то есть у кого-то совпадает. В любом случае, а всегда нужно помнить, да, что важность выборки и важность региональной какой-то, э, представленности. Поэтому, а
[[18:45 | t=1125]] есть вопрос, да, про мягкие ниши. К сожалению, практически мы не исследуем инфобизнес, и поэтому м для нас, э, нужно делать отдельный там запрос для разработки, чтобы они посмотрели какие-то данные. Такие проекты у нас есть, но их немного. А, ну, в общем, да, понятно, что, э, ЯндексДирект для многих, э, останется одним из ключевых каналов, в том числе и для нас с вами, и для нас как бизнеса, и для вас, скорее всего. Но в большинстве своём мы все
[[19:16 | t=1156]] возвращаемся к максимально классическим маркетинговым каналам, маркетинговым долгосрочным инструментам, которые одновременно могут приносить и трафик, и заявки, и могут критично влиять на узнаваемость. Что это за инструменты? Да это может быть какой-то нишевый отраслевой контент, это SEO, это мероприятие, это контент-партнёрство и партнёрство. Сегодня про каждый инструмент я отдельно
[[19:46 | t=1186]] расскажу. А-э, давайте поговорим немножко а-а про контент с вами. Э, несмотря на то, что мы, наверное, многие из вас сейчас вкладываем в SEO контент, то есть это какие-то специальные оптимизированные тексты, э, мы, например, в Калибре делаем тематические единицы контента, которые активно продвигаем и снабжаем какой-то автоматизацией, воронкой и получаем заявки. Конечно, нет никакого секрета, это более объёмные
[[20:16 | t=1216]] лидмагниты, э, чем, например, какая-то маленькая пдфчка. Что это может быть, да? а-а, это небольшие курсы, это какие-то спецпроекты, в том числе развлекательные. Например, мы с ребятами делали маркетинговое Таро. Аэ э очень много у нас всяких квизов. Это тоже сюда попадает. Ещё у нас всякие есть сложные составные аудиты, просчёты и запись вебинаров. Чем хорош ээ этот формат? То есть в каждый в каждый из этих форматов вы можете э нативно встроить ваш продукт
[[20:49 | t=1249]] или услугу и интегрировать подробный блог или какой-то любой другой формат и аккуратно продавать. Мм, на примере калибре расскажу, что а что это может быть. Вот у нас есть, например, прикольный курс про продажи в переписках. Это, кстати, реальный QR-код. Вы можете спокойно его сканировать и пройти этот курс. Это emailкурс. Там очень клёвый продажник, который действительно рассказывает, как отличаются продажи ээ в звонке от э
[[21:19 | t=1279]] продаж в тексте. А, соответственно, мм, мы напрямую здесь не продаём калибре, но при этом у нас есть сервисы, с помощью которых можно в тексте продавать. То есть у нас есть онлайнчат и агрегатор мессенджеров. Ещё один пример, э, это, э, простейший курс, как бизнесу использовать таргетированные SMS-рассылки для продвижения. И, ээ, тоже очень понятный, простой формат. И в
[[21:50 | t=1310]] этом курсе мы рассказываем не только как, э, пользоваться рассылками, но и, соответственно, м помогаем понять, ээ, клиентам, подходит этот инструментом или нет. примерный таймлайн запуска таких проектов, э, в пределах двух месяцев. И дальше, э, мы подключаем активную дистрибуцию, активно через инфопартнёров продвигаем. И, ээ, здесь нужно понимать,
[[22:21 | t=1341]] что абсолютно комфортный бюджет на ЯндексДирект, а заявки ничуть не хуже, чем, э, например, э, с перфоманса. Например, вы видите сейчас на скриншоте наш единый журнал Lidf. Мы к каждому такому проекту, э, подключаем э наш перехватчик форм и мультитрекинг. И, соответственно, в моменте я вижу, а какой из таких какой из таких курсов, из таких единиц контента приносит какие заявки. И, соответственно, вы видите,
[[22:52 | t=1372]] да, зелёные - это лиды квалифицированные. Соответственно, я могу принять решение, а добавить туда бюджета либо как-то, э, изменить продвижение, чтобы скорректировать, ээ, качество трафика. И, соответственно, мы спокойно видим, что, да, это приносит заявки и приносит э лиды. И я уверена, что практически, да, для любого бизнеса такой формат можно придумать и придумать такой контент, который э будет продавать услугу либо ваш продукт. И что самое
[[23:24 | t=1404]] важное, а эта штука не требует гигантской команды для реализации. И давайте посмотрим, как такие штуки делать. Соответственно, аэ как это выглядит у нас. И это у вас может быть выглядит точно так же. А нужно определить реальную потребность. Можно это сделать с помощью каздела, да, поговорить с вашими клиентами, потенциальными клиентами. Можно послушать звонки, которые к вам поступают, да, и какой-то конкретный повторяющийся запрос превратить в глобальную тему или глобальное закрытие, да, возражений. Соответственно, после
[[23:56 | t=1436]] этого мы определимся, да, что это будет за контент, как это можно упаковать. То есть это может быть текст, видео, PDF, э, не знаю, любой формат, да. И, соответственно, дальше мы выбираем для него упаковку, делаем простейшую страничку на тильде, делаем бота либо цепочку рассылок и, соответственно, думаем, куда мы всё это можем посеять, ээ каким инфопартнёрам мы можем это дать, чтобы они тоже поделились. Ну и автоматизируем
[[24:26 | t=1466]] выдачу уроков, выдачу этого материала, чтобы вручную это не отправляли. Хорошенько тестируем и запускаем анонсы и промо. И, соответственно, э когда человек ознакомится с вашим контентом, есть шанс, что у него возникнет потребность, и он оставит либо, э, входящую заявку для вас, либо вы можете передать эти заявки в отдел продаж, э, и они отработают их, и это будет дополнительные для вас а лиды. Аа давайте поедем дальше. А поисковое
[[24:58 | t=1498]] продвижение. Сейчас, конечно, все говорят про SEO, и м мы, э, с вами видели, какую долю, э, поиск занимает в источниках, да, почти половины. И, э, порадо, наверное, всё же тоже инвестировать в этот канал, если у вас, наверное, нет сильной суперлокальной привязки, да, если там небольшой бизнес в небольшом городе, наверное, се вам всё-таки не нужно. Хочу вам показать конкретный кейс нашего клиента. Э, это довольно конкурентная такая история. это, э, тонировщики окон. И это
[[25:31 | t=1531]] очень понятный конкурентный бизнес. И на старте была картина такая, а общий ээ трафик с поисковых систем был маленький, мало заявок, всего там один три лида, а хотелось, конечно, сильно больше, да. Ну и когда наши партнёры подключились агентство, да, и стали развивать эту историю, то получилась глобальная работа э с сайтом. То есть это не только были
[[26:01 | t=1561]] какие-то точечные изменения в метатегах и заголовках, но ребята поработали и с контентом, и, ээ, чтобы охватить и низкочастотный спрос, и высокочастотные запросы. исправили все технические ошибки, а убрали дубли, да, создали каталог, которого не было изначально, доработали мобилку, отслеживали ээ все-все заявки с помощью статического колтрекинга калибре. И в итоге а вот эта
[[26:31 | t=1591]] долгосрочная работа, да, э привела к тому, что, во-первых, в пять раз вырос трафик поисковый, а лиды, ну, то есть это в пять раз больше плана. Вы весь кейс можете прочитать по QR-коду, но самое классное то, что вот этот клиент, он платную рекламу, то есть перфоманс подключает только в низкий сезон, а это значительно экономит бюджета. И это, э, супер, на мой взгляд, хороший и такой крепкий кейс и
[[27:01 | t=1621]] заставляет, я думаю, задуматься. Ещё один инструмент - это ивент-маркетинг. Тоже абсолютно не новая история. И, э, конечно, чтобы рассказать о всех наших ивентах, мне не хватит ни 20 минут, ни тридцати. Но здесь бы я хотела сосредоточиться на фразе, да, на моменте, который всегда мне повторяют мои коллеги из юнита ивентов, да, что если вы хотите проводить мероприятия и,
[[27:32 | t=1652]] ээ, успешно с них продавать, то нужно воспринимать мероприятия как лидгенерирующий инструмент, а не только а имиджевый. И что важно? Важно каждому бизнесу, который пробует мероприятие, найти свой формат. А, например, те же онлайн-мероприятия, как вот мы сейчас с вами на онлайн-конференции, они доступны практически любому бизнесу. И это правда реально важно попробовать форматы потестировать и найти свой. А я, например, расскажу вам тоже наш кейс.
[[28:02 | t=1682]] Это наше одно из самых любимых мероприятий. Вечерний маркетолог э для рекламных агентств. Мы в десяти городах России от Санкт-Петербурга до Владивостока делаем эту вечеринку. Аа что это такое? То есть мы собираемся в баре мм вместе с представителями рекламных агентств и иногда и коллеги из витамина тоже с нами участвуют а в этой тусовке, да, там неформальные доклады, неформальная атмосфера, можно пообщаться. Ээ это суперуютно и
[[28:36 | t=1716]] это неформальный такой вариант. Это большое испытание, конечно, для спикеров, которые которые выступают перед народом, который сидит за столиками и ест, но подкупает то, что вы можете пойти в бар по работе. И да, это может вполне себе работать как лидогенерирующий формат. Ну и как найти тот самый формат, да, вам? То есть нужно пробовать разные,
[[29:06 | t=1746]] подсматривать, да, за другими. Вы спокойно можете сходить на мероприятие ваших коллег по рынку, посмотреть, что они там делают, либо взять консультацию у каких-то хороших ивентмаркетологов, организаторов мероприятий. Это суперважно, на самом деле. Не бойтесь ходить за чужим опытом и не стесняйтесь за него платить, потому что а какие-то вещи, которые вы в процессе, может быть, тоже узнаете, вам как бы скажут сразу. Но в чём здесь сложность? Да, сложность в том, а-э, что, да, найти формат вы
[[29:39 | t=1779]] сможете, но настоящая работа не заканчивается, когда у вас расходятся гости, аэ, после мероприятия. Поэтому давайте посмотрим на самые проблемные точки. А вот у нас есть с вами, да, ожидание, да, мы собрали классную базу контактов, мы их классифицировали, очень клёво передали отдел продаж, кому сразу не продали, там догрели, сделали рассылочки, всё замечательно работает, да, идеальная, прекрасная картина, но по факту, э, в сотнях
[[30:09 | t=1809]] бизнесах аэ не собирают ээ базу контактов вообще, либо её неправильно обрабатывают, ээ либо Непонятно, что это за люди, да, собирают, например, только телефоны, непонятно, как дальше коммуницировать с этими людьми. Дальше, ээ, классификация контактов, да, нам важно, целевой это клиент, нецелевой, похож на наш портрет аудитории, не похож. И если вы, например, не учли это на этапе регистрации, да, на этапе
