[[0:05 | t=5]] [музыка]
[[16:22 | t=982]] Таргетиные рассылки - это не digдитал. Здесь нужно идти сразу в узкий сегмент. э-э не нужно повышать узнаваемость. Здесь мы уже выцеливаем какие-то конкретные аудитории и предлагаем что-то конкретное. А если работать наверху, то экономить на эсмэсках не получится. Просто инструмент работает на перфом. Поэтому у нас верхняя вороночка, она, собственно говоря, пустая. Начинаем с активации, с конверсией, э в покупку, в запись, в какой-то, может быть, звонок, в коммуникацию с компанией.
[[16:55 | t=1015]] Как только активировали, уже переходим на этап удержания и лояльности. Ещё буду об этом говорить, но я сейчас скажу. Спрашиваем почаще мнение о оказанных услугах, о купленном товаре. А советуем какие-то персональные рекомендации, персональные оферы. Всё это можно сделать с помощью таргетированных рассылок или рассылок по своей базе. Вороночка обсудили. А вот теперь давайте посмотрим про конкретные бизнес задачи. Здесь сделаю небольшую ремарку.
[[17:27 | t=1047]] Э многие, я думаю, знакомые с рассылками по своей базе часто ещё называют э AP, application toпиer, да, рассылки. А вот таргетированные рассылки A2P, они на самом деле во многом похожи, потому что и там, и там очень узко сегментируемся, поэтому задачи очень часто перекликаются. Это информирование о специальных оферов для какой-то конкретной аудитории, это сообщение о басох и скидках. реклама новинок, программа лояльности, да, сервисные сообщения, сколько баллов начислено,
[[17:57 | t=1077]] может быть, там дополнительные баллы начисляют просто так, да, чтобы попробовать человека вернуть. Он ничего не сделал, а мы всё равно ему баллы начислили. Вот какие мы хорошие теперь, да, посмотри, что мы можем тебе предложить. И сюда же идут и статусы заказов. А очень просто и правильно с помощью именно рассылок держать человека в курсе, ээ, что происходит с его заказом, что происходит с проектом, который мы сейчас с ним делаем, реализовываем. Он принят, он в работе, он уже в доставке и
[[18:27 | t=1107]] так далее. Напоминать о себе, может быть, напоминать о уже сделанной записи или сказать: "Вы к нам давно не обращались. Вот у нас есть кто-то, давайте заходите". Присылать уникальные промокоды под каждого человека. А, как я уже сказал, собирать отзывы, чтобы человек мог высказать своё мнение, и мы все с вами стали лучше. Однако эсэмэски - это один путь, да, есть ещё способ оптимизировать с помощью каскада, и мы только за. А если работаете особенно со своей базой и
[[18:58 | t=1138]] нужно охватить особенно там побольше аудиторию, например, то можно показывать эти сообщения э-э в первую очередь рекламные, да, там не суперважные, что у вас там заказ около двери, откройте, пожалуйста, в Telegram, в объявлениях Telegram. Можно настроить автоматическую коммуникацию, когда вы начали в Telegram, если по прошествию какого-то времени пользователь, э, ваш клиент не увидел это сообщение, не заходил в Telegram, не выкоплен был показ, то ему
[[19:28 | t=1168]] автоматически ходит эсэмэска, которая точно будет доставлена, точно появится в телефоне и сохранится там. Перейдём к кейсу. Кейс у нас с нашими партнёрами, с компанией Росса Cars, которая производит суперкары российские, участвующие в международных соревнованиях. Эль коллег была нагнать именно очень целевого и точного трафика на сайт, чтобы люди заинтересовались,
[[19:58 | t=1198]] качали презентацию, посмотрели больше про эту машину. Суперкары - это не быстрая сделка, это не быстрое знакомство, да? Во-первых, они делаются подказ. Во-вторых, они стоят немало. Поэтому здесь нужно было попасть прямо очень точно, кому это реально интересно. Аэ, и у них интерес, да, как-то вот развить их, сконвертить. У нас здесь получился очень хороший сер. Я сам запускал компанию, как старые добрые партнёры очень хорошие, поэтому э решил вспомнить молодость, так сказать. Достигли мы его, разумеется, с
[[20:30 | t=1230]] помощью хорошего попадания в ЦА текста, которого написали с помощью нашего и ассистента, и автор, который бесплатен для всех наших пользователей. Он немного кликбейтный, но это мы сделали специально, так грань не перешли, но прямо хорошенечко так заинтересовали. А и разумеется удача, да, это компанию запустили буквально на прошлой неделе. Ещё собираем статистику. CR уже понятен, он не изменится. Чуть более 16%. скачивание тех самых презентаций есть, но мы ещё ждём, когда
[[21:01 | t=1261]] это дойдёт. Как я сказал, это уже не быстрая сделка. А что, собственно говоря, мы посмотрели? Все таргеты, которые здесь есть на слайде, которые мы использовали, они доступны абсолютно всем. Специально делали, чтобы не было никаких там трюков, что мы с вами где-то ручками собрали получше, посложнее. Нет, нет, нет. Всё это можно сделать прямо в кабинете. В том числе с помощью наших и инструментов. Мы определили возрастную категорию, выбрали полмужчины. Просто статистически суперкарми будет больше
[[21:31 | t=1291]] интересоваться. Они гео самых крупных города добавили интересы прямые и косные по доходу, да? То есть это должен быть доход немаленький. Э прямым покрыли средний доход, а высокий доход покрыли косвенным признаки. Это путешествие в дорогие страны, курорты за последние 3 месяца плюс увлечение яхтингом и там чтение регулярное. прессы о бизнесе. И таким образом у нас получилась совсем небольшая рассылка. Э бюджет тоже небольшой. Опять же подойдёт подобные
[[22:03 | t=1323]] кейсы и для малого среднего бизнеса, именно с точки зрения точности таргетирования. Всего у нас вышло на 15.000 руб. э абсолютно прямого прайса, без хитрых скидок. Ээ, и нетрудно посчитать, сколько стоил клик очень-очень целевой, который хорошо конверт дальше по воронке и сколько у нас, э, всего их было. Цена, ээ, цена эсэмэски там в районе 10 руб., я точно уже там не помню. Ближе, э, к концу мы, э, сейчас
[[22:35 | t=1355]] повторим, как замерять эффективность именно в SMS-рассылках или же во всех таргетированных. Начинаем мы здесь, как и в дижитале, здесь ничего нового. Смотрим на переходы, но переходы так посмотрели и откинули, даже если не очень хорошо. В SMS 3% - это очень хороший рабочий CR. А не гениальный, не метрика тщеславие, но хороший, нормальный. Всё, что выше пяти семи, это уже нормально, высокий. Здесь надо смотреть. Либо мы настолько гениальные таргетологи и у нас плюс ещё офер самый
[[23:05 | t=1385]] лучший на свете, либо нам ещё где-то повезло. А вот прямо хороший хороший, где прямо нет аномалии, это вот 57 три. Ну хорошо, там нормально. А мы посмотрели на это, отмахнули и дальше смотрим, что происходит на нашем лендинге или что происходит с нашим телефоном, если мы это оставляли как способ связи. устанавливаем и колтрекеры, и пиксели вешаем на сайт, на рейдинге, метрику всю возможную, чтобы с помощью посмотреть, а что делают люди,
[[23:35 | t=1415]] которые перешли именно с таргетиных рассылок, как далеко они ушли, оставляли ли они э лид, да, заявку на лит, на перезвон, купили ли они что-то, бросили ли они корзину, потому что если они бросили и был пиксель, мы можем, если что, ещё их догнать. Это же работает, как и кроснальность digital. Если мы видим в дижитальной рекламе, что кто-то бросает корзину, то через пиксель можно потом догонять и более персонализированно, более точно в таргет-рассылках. Это мы посмотрели с вами конверсию, да, кто куда сконвертился, кто купил, кто ещё что-то сделал. Самое важное для нас. Но дальше
[[24:07 | t=1447]] не бросаем ни в коем случае и рассылками всегда догоняем, возвращаем, повышаем лояльность, спрашиваем, как дела, понравилось ли всё, что бы произошло во время покупки или пользования услугой, потому что прописана истина, все знают, что в несколько раз дешевле клиента нового удержать, чем э- получить, но клиента старого удержать, чем получить нового. А в конце поделюсь тоже новостью, тоже связанной с кэшбэком. Мы на днях, э, кэшбэк увеличили в два раза
[[24:39 | t=1479]] размер. Раньше он был 10%, теперь возвращаем 20%, э, за любые запуски на нашей платформе, которым этими баллами. Один балл равен одному рублю. Тоже всё очень просто и понятно. Можно оплачивать хоть 100% новых компаний, э, в таргетированных рассылках. Запускаем всё, что угодно, хоть Авито, хоть Telegram, получаем 20% обратно. поднакопили и пользуемся таргет-рассылками или звонковыми историями совершенно бесплатно или с
[[25:10 | t=1510]] очень значительной скидкой. А сейчас спасибо большое за внимание. Очень буду рад ответить на ваши вопросы и пообщаться с вами. Иван, спасибо тебе. Всё кратко, но по делу. Кратко, сестра таланта. Я всегда топлю за это. Вот вопросов много. Общение. И правда у нас сейчас получится насыщенным, не может не радовать. Спасибо за активность нашим зрителям. Погнали. Алина спрашивает:
[[25:42 | t=1542]] "Есть ли какая-то статистика, сколько процентов людей негативно реагируют на такие таргетированные SMS-рассылки?" Да, есть. Она в ссылах в рамках стат погрешности. Это около процента или там максимум два зависит от периода. и от сферы э рассылается. Всё дело в том, что мы не навязываем свои рассылки. У нас есть своя контактная политика, не более одной рекламной эсэмэски или мэмэски, да, на человека в 7 дней. Это первый
[[26:14 | t=1574]] момент. Второй момент, э, мы рассылаем только тех, кто выразил согласие. Согласие можно отозвать. Э, поэтому, если вы заходите в разные дни в МТС-маркетолог, вы видите, что максимальная предельная база по стране, она немножко плавает. Кто-то отказался, кто-то прибыли новые абонента, они согласились или кто-то вернул согласие. Э у кого-то контактная политика подошла, у кого-то нет, и оно поэтому туда-сюда бегает. Спасибо. Да, в общем, каждый сам решает,
[[26:44 | t=1604]] что он хочет получать и хочет ли получать вообще. Алексей спрашивает: "Мне нужен сегмент преподаватели". Ну давай, предположим, ну любые могут быть преподаватели. Вот преподаватели танцев, вот моё второе детище. Вот как на них сделать таргет на платформе МТС для SNS прямо на самих преподавателей, да? То есть не на учеников, а тех, кто преподаёт танцы, да? Ну да, да. Тут, допустим, такой, да.
[[27:17 | t=1637]] Смотрите, есть блок в МТС-маркетологи интересуются интерес к аналогичным услугам. Можно посмотреть телефоны каких-то специальных магазинов или компаний, которые работают именно с профессионалами, да, с танцорами. Э, ну и плюс там магазины, где профессиональная экипировка для танцев. Такие точно есть. Я совершенно точно знаю, потому что был у меня опыт, я 3 года в Тотосе занимался, поэтому знаю, что такие магазины существуют. их загрузить в систему. Мы не смотрим в
[[27:50 | t=1670]] упор впрямую, кто там куда ходил. Нам это не интересно. У нас есть вероятност модели. Анализирует контент подгруженный и подбирает по, ну, чтобы сказать попроще и всем было понятно, по аналогии с лукалайком или что-то такое. Портрет людей, которые очень вероятно пользуются такими же услугами и покупают такие же товары. Так мы можем найти преподавателя. Давай тезисно, да. Вот крутой ответ у тебя очень. Ещё раз тезисно подчеркнём, что настройки гибкие, точность почти хирургическая,
[[28:22 | t=1702]] что можно найти даже такой узкий сегмент, как преподаватели танцев. Вот это не супербольшая аудитория, очевидно. И если там Алексею нужны какие-то другие преподаватели из вузов, из школ, вот из интернет-маркетинга даже, то эта база явно больше будет. Их можно всех вытащить в вашу целевую аудиторию и на них настроить рассылки. Да. Едем
[[28:53 | t=1733]] дальше. Сегментирование по поведенческому признаку. Есть ли, как в других системах, longterm, шоттерм интересы в обще? Да, во-первых, часть сегментов по интересах уже присобранных имеет в своём названии отсылку к глубине. Да, закую мы смотрим там 3 месяца, полгода, год. Я вот как раз на кейсе приводил пример путешествия на дорогие курорты за последние 3 месяца. Аэ для таких
[[29:23 | t=1763]] путешествий это явношртёрм. Вот если брать там смотреть год и больше, то это уже там. Во-вторых, если мы опять же таки собираем через блок интерес к аналогичным услугам, там есть чипсами настройка глубина, там 3 дня, 7 дней, 2 недели, 60 дней в зависимости от ваших целей и длины сделки. Отлично, спасибо за развёрнутый ответ. Сейчас просят нас приоткрыть завесу тайны немного.
[[29:54 | t=1794]] Вот какова система, какая система сбора обеспечивает понимание интересов. Э у других платформ ясно, они там видят полжизни человеку. Что видите вы? Вот на основе чего именно эти данные собираются, каковы источники инфы, какая актуальность данных, ну и способ сбора? Я бы сказал, что операторы, особенно МТС, видят даже
[[30:24 | t=1824]] побольше половины профиля абонента, поэтому это очень ответственно. Поэтому я подчёркивал, что мы очень всё дерелизируем и агрегируем. Э мобильная сеть, в первую очередь, разумеется, телефоны, э, там есть активность и звонковая, и SMSная, и Geo, и заходы на какие-то сайты, и приложения, которыми пользуется человек. Все они для чего-то сделаны, да? То есть человек им пользуется какой-то целью, и очень часто эта цель какая-то конкретная. Э по этому
