[[0:04 | t=4]] [музыка]
[[5:52 | t=352]] поэтому поддержите наших спикеров, давайте им огня, кидайте больше реакций и давайте мы будем потихонечку начинать. Я хочу представить нашего первого спикера. Первый у нас сегодня Виктор Сотников, основатель агентства Старк. Виктор, ты подключайся к нам. Ты здесь? Я пока тебя не вижу. >> Выходи, включай камеру, микрофон. >> Нормально слышно? Я вижу, что у тебя появилось окно, но я ещё тебя не наблюдаю.
[[6:22 | t=382]] >> Так, слышно меня? >> Если у тебя не грузится, перезагрузи страницу. Это очень часто помогает в этой платформе. >> Тактак-так. Виктор ушёл. И сейчас, наверное, он вернётся к нам обратно. Егор, меня слышно? Я перезагрузил. Виктор, ты меня слышишь? Видишь? >> Слышу и вижу. >> Ты появился. Привет.
[[6:52 | t=412]] >> Приветствую. >> Всё отлично. Рад тебя видеть. Тебя видно, слышно. И напомни, у тебя 15 минут. Я сейчас засеку вот здесь таймер. Где-то за пару минут до окончания я снова вернусь в эфир, и уже там ты поймёшь, что значит пора закругляться, и после этого я буду читать тебе вопросы. Всё, твои 15 минут у тебя есть. Погнали. >> Так, коллеги, добрый день. Аа мне выпала сегодня честь быть первым спикером. Это очень круто. Давайте познакомимся с вами. Пожалуйста, поставьте в чат кто
[[7:22 | t=442]] маркетолог, поставьте единичку. Кто представитель сферы или бизнеса строительства, поставьте двоечку, чтобы я понимал, а какая у нас здесь аудитория собралась и на кого мне, а больше рассчитывать. Ага. Коллеги, очень, очень рад видеть коллег. Прекрасно. Вот и представители бизнеса есть. Супер, супер. Спасибо, ребят. Я понял, в общем и целом объёме. Так, а тогда быстренько познакомимся. Меня зовут
[[7:52 | t=472]] Виктор Сотников. Я занимаюсь маркетинг в 12 лет. Я собственник рекламного агентства. Преподаю стратегический маркетинг на курсе MBA. В этом году написал, надеюсь, первую, а не единственную книгу, а конкурентный анализ. Она уже вышла в издательство. А мы в рейтингах Рунета заняли, ну, достаточно для регионального агентства хорошие места по разработке посадочных страниц ЯндексДиректу. Вошли в сотню везде. Вот поэтому я сегодня как раз порассказываю вам про кейс строительной тематикой, а именно про кейс про
[[8:23 | t=503]] смарт-фасад, да, про навесные фасадные системы. Итак, коллеги, быстренько экскурс. Навесная фасадная система - это система такая, состоящая из направляющих металлических, а, палок, давайте по-простому очень сильно расскажу, на которую вешается позже. облицовочный материал. Целевая аудитория всей этой системы не частное домостроение, это только бизнес, э, центры, это жилые здания. То есть это вот такой вот сегмент, да, у него есть набор, а, ключевых вещей, на которые стоит обратить внимание, а именно длинный цикл
[[8:53 | t=533]] сделки. Очень плохо относится к холодным аудиториям, поскольку мой клиент - это не не перепродажник, это производитель. Аа, соответственно, к новым очень долго греется аудитория, да, и они одно из ключевых вещей они должны где-то знать, где-то видеть, да, до вот всей а этой механики. Я много работал с разными строительными компаниями, таки и те, кто производит, а, непосредственно какие-то материалы, там строй, керамика, кирпичи производят, да, и застройщиками, которые строят бизнес и коммерцию.
[[9:25 | t=565]] Поэтому, ну, опыт именно со стройкой мне достаточно большой. А, собственно, проблемы, с которой клиент пришёл, они просто подходят под каждую сферу, да, это нестабильный поток лидов, низкое их качество, как следствие, высокая цена и низкая эффективность, то есть низкая перехо низкое количество переходов лида из обычного в квалифицированный. Это у которого у меня есть а какие-то характеристики в виде, э, там они же хотят купить, могут купить, есть куда купить. Ну, в общем, классическая история. А, и общая стратегия выглядит
[[9:56 | t=596]] следующим образом. Здесь очень важна последовательность работы, да? Первое, мы нашли работать с рекламными кампаниями в ЯндексДирект. Второе, мы перешли к посадочной странице и поработали с конверсией. И третье, поскольку я понимаю, что со мной как агентст с агентством будут работать только я буду приноси, если приносить клиентам деньги, а значит, они должны совершать продажи. То есть мы там подработали инструменты маркетинга для отдела продаж. Сейчас всё расскажу. Итак, в директе, в общем, точки приложения усилий, они ключевых четыре. Это работа с семантикой. Про неё тоже расскажу через два слайда. Это внедрение
[[10:27 | t=627]] автоматических стратегий мастеркомпаний. Разные компании, разные специалисты по-разному относятся к данному инструменту. У нас он показал свою эффективность. Дальше, поисковые компании. Здесь в процессе тестов мы заметили одну очень интересную штуку. А квалифицированные лиды и конверсия в квалифицированный лид и не более низкая цена квалифицированного лида всё сильно лучше при поисковосредней позиции показа 2 п. А а то и два. То есть ближе к верхушке. Это
[[10:57 | t=657]] по Ройстату всё посмотрели. Это было, ну, такое своеобразное открытие в этом, да. И вторым ключевым элементом, поскольку на холодную гнать трафик достаточно дорого и долго, а это работа с аудиториями. У нас есть аудитории, одна из них - это аудитория выставки, на которой мы участвовали, где мой клиент был экспонентом, то есть он выставлялся со стендом, выступал с докладом. Вот. И аналогичные выставки, доступ к аудиториям, которые мы, которые мы получили, нам их выдали. А из,
[[11:27 | t=687]] я думаю, что презентация мелко. Я пробегусь, да, и по особенностям корректировок, которые мы делали, в том числе в мастере компании, да, понятно, что мы отсекли меньше 18 лет. Как ни странно, бы достаточно большая часть целевой аудитории, которая является квалифицированными лидами - это женщины. А в женщине, женщины в возрасте 25+ мы делали корректировки плюсовые к ним, а минусовали смартфоны, поскольку с мобильных устройств был самый низкокачественный трафик. И у нас погнали интеграции. У клиента внедрена Bitrix24. Мы используем аудиторию его
[[11:57 | t=717]] текущих клиентов, которые он продавал сопутствующее оборудование, такие какли строительные леса, вышки, туры, вот это вот, чтобы понять и дальше из этого сделать аудиторию луклайка. А также строительные компании по двум интересующим нас регионам Москва-Питер, а собранные вручную, чтобы мы тоже могли с этими аудиториями поработать. Тут видно скриншот, что он был сделан в процессе работы. И, а, вот последние там мы минусовали отдельные регионы, там Алтайский край, Кемеровская область, которая там меньше всего интересна.
[[12:28 | t=748]] А так дальше, аэ, что немаловажно, с директом за всё время мы получили по этому направлению практически 2.000 кликов и 105 конверсий. Конверсии, на самом деле, было поменьше. Здесь у меня присутствуют и боты, здесь у меня присутствуют и некачественные заявки, которые там ошибочные, да, потратили 130.000 руб. А я ниже расскажу про конверсии более точно, про их количество там расчёт. Аа что это за полгода, кстати, коллеги? Да, это февраль и февраль-иль, да? Да, февраль июль этого
[[12:59 | t=779]] года. А семантика, если посмотреть по семантике, мы используем как прямые поисковые запросы на навесная фасадная система, так запросы связаны с облицовкой. Зачастую клиент уже это ищет после того, как он, а, заказал навесную фасадную систему или уже с ней поработал. Поэтому здесь мы как-то дорабатываем. И также мы ищем по работаем по поиску по конкурентам и по около тематике, да? То есть это там мокрый фасад, ну и аналогичные вещи, где мы сможем зацепиться на с клиентом, возможно, на следующий их проект. Аа
[[13:31 | t=811]] следующий блок немаловажно, это что было до а куда гнался трафик с директом. Здесь мы закончили из базовых настроек. Мы они они основаны на аудиториях, как я уже сказал. Я нажал вот такой вот скриншот в веб-архиве. Это примерно то, что было. Тут ещё с логотипа не хватает, но почему-то веб-рхив его не сохранил. Вот. А мы использовали разные подходы в дальнейшем в работе доработке сайта, дорабо доработки посадки, а именно лестница узнавания или пирамид наханда, кто как её называет. А это поработали с
[[14:03 | t=843]] отделом продаж, вытащили ключевые факторы выбора, по которым именно выбирают поставщика. И просто факторы выбора - это те, которые по которым подбирают в пул гипотетических поставщиков. Также мы составили CGM Custom Journy Map и проработали маркинговые инструменты на каждом из этих этапов. Поскольку я преподадую в MBA, я часто пишу контент именно для своих студентов, я вот приложил вам ссылку на пост в Telegram-канале, а вы можете перейти прямо к этому посту. И там есть ссылки на мои статьи по этим тематикам, в том числе там я по ним
[[14:34 | t=874]] преподаю. Именно эту методологию мы использовали в дальнейшей доработке посадочной страниц, поскольку мне нужно было отлично релевантный трафик и сделать максимально аа понятные вещи для моей целевой аудитории, которая в некоторых случаях говорит на своём языке. А важно из, я приводил несколько скриншотов, на что мы обратили внимание в процессе, да, то, что мы вытащили важные для клиента вещи, как собственное производство, сертификация и техническая и технические свидетельства, присутствующие бимпроектирование в нашем
[[15:05 | t=905]] случае как дополнительный плюс дополнительный бонус. Вот обеспечит прохождение иде, то есть первое правило 5 секунд. А следующее у меня следующий блок с преимуществами, которые мы вытащили. Обратите внимание, как они написаны. А, да, Анатолий, я тоже удивился, но это был результат аналитики. А что проверено
[[15:35 | t=935]] объектами, временем и Минстроем? То есть полуразговорный язык у нас присутствует пожаробезопасности о сейсмика девять баллов и так далее. То есть мы использовали те слова, по которым говорит моя моя целевая аудитория. Мы говорим и про бимпроектирование, поскольку оно снижает эффективность, э ой, снижает стоимость проекта, да, там где-то меньше креплений, меньше элементов НВФ навестных ценных систем и в рамках одного-двух зданий это колоссальная экономия средств, да. Вот и большой выбор облицовок, что тоже
[[16:05 | t=965]] немаловажно. А, соответственно, все эти преимущества вытащены с отдела продаж и сборов [музыка] опросов с клиентами, с реальными, те, кто продавали. Дальше обнаружили интересную штуку, что людям нужно посмотреть. Нам пришлось дорисовать вот такие вот углы, как мы их называли, да? Это зелёным отмечена фасадная система НВФ, э, с другим цветом отмечен, а, это облицовки, виды облицовок. Их там достаточное количество, чтобы показать, что их много. И наша фасадная система, а, подходит под разные типы облицовок.
[[16:38 | t=998]] Аа дальше ключевым блоком, наверное, стали кейсы, поскольку это всё про доверие. Мы это, напомню, делаем в рамках одностраничного сайта, то есть посадки, да? И здесь мы вытащили кейсы. Кейсы мы разделили на блоки жилые дома, административка, коммерческие. Ну, и нас поставил галочку все объекты, чтобы можно увидеть полный перечень. Поскольку по каждому кейсу мы не можем написать, ну, по каждому блоку мы не можем написать полноценный кейс, да? где-то не можем, где-то не хотим, то мы сделали вот такую штуку. При наведении указывается ЖК, город, что немаловажно,
[[17:08 | t=1028]] и чем выполнена облицовка фасадной системы. А одно из важных вещей, которые мы сделали, я об этом скажу дальше, но сейчас вот на сайте мне такая штука есть. Это полное портфолио. Мы сделали кейсбук для клиента, собрали более пти кейсов, единый документ, который отдел продажк отправляет а клиенту при запросе сайта и при их при их коммуникации. Это это тоже лидформа. А последний блок, на который стоит обратить внимание - это разрешительная документация. В разрешительной документации мы взяли
[[17:38 | t=1058]] перечисление всех технических документов, которые у нас действительно получены. Справа скриншоты этих документов. Там есть нюанс, да, что конкуренты часто копируют скриншоты технической документации, меняют название, логотипы в в условном фотошопе и выдают их за свои. Такой вот интересный рынок. Для меня это было открытие, когда клиент мне это рассказал. Поэтому мы не опубликовали полные версии документов, мы опубликовали только вот такие первые скриншоты на них. Аа когда мы закончили с посадочной странице, мы добавили вот эти инструменты маркетинга - это йбук.
[[18:08 | t=1088]] Через примерно год работы мы поняли, что нам нужна органика для того, чтобы со всем этим лучше работать, потому что путь клиента показал, что люди после того, как посмотрели нашу посадочную страницу, идут гуглить название и общить информацию про компании в сети. Вот поэтому нам нужен сайт для органики. Мы выпустили уже в прот большой сайт клиента. сейчас в наполнении, но уже в проде. Разработали коммерческое предложение и презентацию. То есть мы смешали коммерческое предложение и презентацию. Презентация большой формат, да, коммерческое предложение, уменьшенный формат презентации с информацией о компании и преимуществами,
[[18:38 | t=1118]] а также содержит смету и данные уже о том, что мы обещаем, за какие деньги, за какие сроки, в общем, финансовую конкретику. А результаты резюмируя, которые мы получили в процессе работы, да, мы мы на этом направлении у нас было 1996 переходов, была 61, там вы видели 100 конверсий, да, 105 конверсий, на самом деле фактических это 61 лиц, с которым мы смогли пообщаться. Из них квалифицированных были 22 лида, которые перешли в договорные отношения. 9 лет
[[19:08 | t=1148]] договорные отношения у нас строятся и по бимпроектированию, что является предэтапом поставки навесной фасадной системы, да, и непосредственно, ну и тем не менее вот непосредственно постав я специализируюсь в том числе на посадочных страницах, коллеги, для всех, кто здесь присутствует, я могу я готов провести бесплатный разбор посадочной страницы, если Если вам необходимо
[[19:38 | t=1178]] получить обратную связь, какие-то точки роста, как мы это делали, возможно, поделиться опытом и что-то ещё. Я с удовольствием это сделаю в формате. Вот вам QR-код на на мои контакты. Смело пишите, я без проблем проведу вам разбор, всё расскажу, всё покажу, обо всём подробно расскажу. Супер. А на этом, наверное, у меня всё. Я уложился в тайминг. Я готов э выслушать ответы, вопросы, дать на них ответы. Виктор, супер. 12 с по минут. Просто
[[20:09 | t=1209]] идеально. Даже не приходить раньше. Да, сразу видно, что опытный спикер и держишь время. Это клёво. А так по вопросам смотри, что я вижу в чате. В чате я вижу вопрос. Первый про разбор хотят тебя спросить. Для любых ли сфер ты их делаешь? >> Да, у нас есть специфика в у нас есть достаточно большой опыт в разных сферах, но есть сферы, где мы, ну, где опыта фактического нет. Поэтому я об этом сразу скажу и здесь дам свои общие рекомендации, но без привязки к практическим сферам.
[[20:39 | t=1239]] >> Угу. Супер. А перед следующим вопросом хочу подсветить, что, друзья, был очень интересный кейс от Виктора. У вас сейчас на экранах появилось голосование. Пожалуйста, проголосуйте от одного до пяти, тыкните вопрос куда вам там хочется. Я бы ставил пятёрку за такую презентацию, но это моё мнение. В общем, голосуйте за Виктора, чтобы по итогу он мог поучаствовать в финальном разборе кейсов. Так, такая маленькая промо ставка закончена. Пойдём дальше. Так, тебя спрашивает Дмитрий Герасимов: "Чем вы замеряете звонки?" Вопрос такой: >> "Сначала мы замеряли статическим
[[21:09 | t=1269]] колтрекингом, то есть подменой номера телефона по Утм метке. Позже мы подключили Ройста и там, соответственно, динамический колтрекинг со всеми плюшками". >> Огонь. Супер. Так пишет тебе Богдан: "По соотношению, какие рекламные кампании работали и какие лучше давали результаты? Поиск РСЯ МК >> ты сам. Да, >> самые самые холодные лиды нам давали, ну, самые дешёвые нам давали мастера компаний. Самые квалифицированные лиды с большей с
[[21:40 | t=1300]] большим показателем, а, конверсии в Квал, да, это непосредственно компании по аудиториям, ну, то есть те, кто были с нами знакомы или уже видел нас, да. А среднего качества люды по соотношению это были поисковые компании. А, но, как показала практика, уже потом поисковые компании по конкурентам показывали самый худший результат, потому что те, кто искали конкурентов, всё-таки искали конкурентов, и мы их уже позже подключали. А околоцелевые работали тоже хорошо, особенно по облицовкам, но такой самый низ топчика.
[[22:11 | t=1331]] >> Супер. Спасибо. Ещё вопрос от Юрия. Что лучше работало? Лучше: смарт баннерное или трафик и конверсии? >> А-а, так что же Smart А работа ли? У меня, значит, трафиковые вещи и на конверсии. Сначала мы работали оптимизацией трафика, а какое-то время потом перешли -э на конверсию. >> Спасибо. Кристина интересуется цифры, которые ты привёл это за месяц или за полгода? >> А у меня приведены статистические цифры за полгода по общему трафику. Да.
[[22:43 | t=1363]] Продажи фактически проведены за месяц, поскольку, а, весь подогрев трафика, вот всё осуществлялось на протяжении, ну, крап определённого времени. А вот прода продаж мы довели в рамках одного месяца. >> Ну то есть был долгий цикл продажи, фактически пока вы сделали ндоOS, пока вы сделали сайты на органику, упаковали это всё и только потом это спустя какое-то время к сезону, наверное, дало уже продажи. А, >> ну да, там потому что мы стартанули в феврале, сезон всё-таки начинается в апреле, такой более-менее движниковый, да, поэтому >> Ну да, да-да, да, я понял. Тебя
[[23:14 | t=1394]] спрашивают цену лида, поделишься или НДшка? >> Да, да, нет, поделюсь, да, без проблем. У меня есть, я рассчитал квал, да? То есть можно вернуться к моей презентации. Квал, я там не указал эту цифру. Квал у меня был чуть меньше 6.000 руб. Это за квал, то есть те, которых 22, да, поэтому >> 22 было, да, прости, пусть весит голосование, это будет тебе полезнее сейчас. Да, 22 было у тебя квалде, да, я помню. И девять продаж. >> Вот у меня там порядка 6.000 руб. за квал. Соответственно, ну, если там пересчитать, получится там, я думаю, что тысячи 2, по залито. Анатолий. О, о,
[[23:44 | t=1424]] простите, забрал забрал работу. Ну, отвечай уже. Ты всё равно прочитал про Сибирь давай. А >> у нас был приоритет сначала СФО, потом мы подключились два блока, куда мы поставляем. Это СФО, то, что Новосибирск плюс регионы и Московская область. >> Так. Следующий вопрос от Юрия. Кстати, у вас были МП пропустил. Была ли у вас реклама на МП через ЯндексДирект? >> Нет, маркетплейсов не было, и мы их не запускали здесь, в этом проекте. >> Понятно. О'кей. Хорошо. А, друзья, ещё
[[24:16 | t=1456]] вопросы. Есть ли к Виктору? Если вопросов нет, то я сейчас тоже спрошу, а потом голосовалку будем закрывать. Буквально 30 секунд, чтобы отдать свой голос за этот прекрасный, на мой взгляд, кейс. Давайте мы, наверное, ещё доголосуем. Те, кто не доголосовал, если вы на другой вкладке сидите, переключаетесь, голосуете, возвращайтесь к своим делам. Это тоже нормально слушать нас в формате аудио. А, Виктор, у меня такой вопрос. Смотри, я обратил внимание, что у тебя есть конверсия из квалледа в продажу. Круто, что ты их считаешь. Далеко не все агентства это делают. А вопрос следующий. Если я правильно прикину, там порядка 42%
[[24:47 | t=1487]] что-то эта конверсия. И вопрос в следующим. До того, как вы внедрили инструменты работы с отделом продаж, то есть все возможные кейсбуки и коммерческие и прочую историю, конверсия была ниже? Если да, то на сколько? >> Я не готов тебе сказать насколько в цифрах, но по прикидкам примерно в четыре раза. Проблема в том, что клиентам, мы же слушали звонки, то есть поскольку проводили исследования, слушали звонки, разбирались сделам продаж, клиентам не хватало степени доверия к компании. То есть компания не медийная, это не PRри, это не медиасфера
[[25:20 | t=1520]] какая-то, да, где они там распространены. А, и здесь нам не хватало элемента доверия, потому что в Facebook мы ещё добавили референслист, а, а именно контакты с тех, с которыми договорился клиент, где можно позвонить и спросить, как там стоят наши фасады, сколько там они стоят, как мы там всё поставили. В некоторых случаях мы их ещё и монтировали в редких случаях. Поэтому здесь ключевым, наверное, тем блоком это был блок про презентацию компании и блок про доверие, то есть про кейсбуки. Они сильно увеличили цикл коммуникации. У меня перестали отваливаться клиенты
[[25:50 | t=1550]] после там простейшего первого коммерческого предложения. И мы закрыли вопрос доверия к продукту и компании. >> Это огонь, потому что даку не все агентства занимаются ещё работы с отделами продаж заказчика. Это прямо сильный кейс, я считаю. Последний вопрос чата я тебе задам. Тут два вопроса, но смысл у них примерно один. Что работало хуже всего? >> А, ну, как я уже говорил, одна из самых неэффективных рекламных кампаний - это были рекламные кампании по конкурентам. Мастер компании давала кучу холодных, более дешёвых литов, которые с гораздо
